City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,zhizdra,53.746,34.7395,4.6,85,100,3.07,RU,1738124051
202,pemangkat,1.1667,108.9667,25.69,88,100,8.64,ID,1738124052
203,guarapari,-20.6667,-40.4975,24.11,90,100,3.74,BR,1738124054
204,kralendijk,12.15,-68.2667,26.99,78,40,6.17,BQ,1738124055
205,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,51,75,10.0,RU,1738124056
206,cabo san lucas,22.8909,-109.9124,19.86,58,99,0.89,MX,1738124057
207,tarko-sale,64.9225,77.785,-26.19,90,97,5.03,RU,1738123899
208,lazaro cardenas,17.9583,-102.2,23.97,86,18,1.03,MX,1738124060
209,lensk,60.7253,114.9278,-25.32,94,59,0.97,RU,1738124062
210,berezovo,63.9381,65.0419,-17.17,97,100,1.29,RU,1738124354
211,san lawrenz,36.0553,14.204,13.25,91,6,2.38,MT,1738124356
212,villa dolores,-31.9459,-65.1896,20.38,69,16,1.75,AR,1738124357
213,gizo,-8.103,156.8419,28.36,74,95,2.18,SB,1738124358
214,northam,51.0333,-4.2167,6.0,87,41,0.89,GB,1738124360
215,xinyu,27.8043,114.9334,12.27,39,3,2.22,CN,1738124361
216,lospalos,-8.5186,127.0025,24.24,88,100,1.05,TL,1738124362
217,xiaoweizhai,26.1903,107.5125,11.57,41,69,4.21,CN,1738124363
218,tamandare,-8.7597,-35.1047,25.4,85,45,2.16,BR,1738124365
219,isangel,-19.55,169.2667,28.86,73,11,6.13,VU,1738124366
220,gudari,19.35,83.7833,24.91,60,95,0.72,IN,1738124367
221,scone,56.4194,-3.4051,5.72,78,100,2.24,GB,1738124368
222,ontario,34.0633,-117.6509,10.92,83,100,3.13,US,1738124369
223,decorah,43.3033,-91.7857,4.51,52,20,6.17,US,1738124371
224,mount isa,-20.7333,139.5,39.87,24,40,5.66,AU,1738124372
225,kangding,30.0513,101.9603,10.9,20,1,1.85,CN,1738124373
226,dhemaji,27.4833,94.5833,21.04,45,33,1.9,IN,1738124375
227,kindu,-2.95,25.95,19.57,98,74,1.06,CD,1738124376
228,puerto armuelles,8.2833,-82.8667,27.83,74,50,3.58,PA,1738124378
229,tirumullaivasal,11.2333,79.8333,25.85,67,100,4.61,IN,1738124379
230,arua,3.0201,30.9111,18.15,32,80,1.83,UG,1738124381
231,cockburn town,21.4612,-71.1419,25.27,78,10,1.88,TC,1738124382
232,rongelap,11.1635,166.8941,26.73,77,57,8.04,MH,1738124383
233,maintirano,-18.0667,44.0167,26.14,89,99,5.25,MG,1738124384
234,kichmengskiy gorodok,59.9816,45.7854,-1.44,98,100,2.73,RU,1738124385
235,maqat,47.65,53.3167,-1.55,93,71,3.7,KZ,1738124387
236,illizi,26.4833,8.4667,12.54,26,1,1.07,DZ,1738124388
237,djibo,14.1022,-1.6306,20.68,17,26,4.4,BF,1738124389
238,jieshi,22.8134,115.8257,16.14,46,13,7.66,CN,1738124390
239,chernyshevsk,52.5243,117.0174,-18.6,91,92,0.83,RU,1738124392
240,pertek,38.8663,39.3268,-8.24,60,0,1.38,TR,1738124393
241,kapuskasing,49.4169,-82.4331,-16.95,85,100,3.09,CA,1738124395
242,carbonear,47.7332,-53.2148,1.24,88,79,12.36,CA,1738124397
243,arteche,12.2645,125.4048,25.7,90,100,4.99,PH,1738124398
244,machico,32.7,-16.7667,15.4,82,20,3.09,PT,1738124400
245,broome,42.2506,-75.833,-1.22,71,100,4.63,US,1738124402
246,san borja,-14.8167,-66.85,23.59,96,100,1.39,BO,1738124403
247,taoudenni,22.6783,-3.9836,17.28,19,15,5.24,ML,1738124404
248,katabu,-4.9333,122.5167,27.31,84,100,1.14,ID,1738124405
249,saldanha,-33.0117,17.9442,17.58,96,23,5.45,ZA,1738124406
250,kailua-kona,19.6406,-155.9956,24.2,85,100,1.77,US,1738124408
251,zagora,30.3484,-5.8365,12.49,27,0,0.89,MA,1738124409
252,villa regina,-39.1,-67.0667,29.12,35,66,6.72,AR,1738124410
253,kolonia town,6.964,158.206,31.06,70,75,6.69,FM,1738124411
254,tura,25.5198,90.2201,22.63,42,11,1.82,IN,1738124413
255,yamada,39.4667,141.95,4.4,61,48,7.47,JP,1738124414
256,amahai,-3.3333,128.9167,30.36,60,100,2.56,ID,1738124415
257,qamdo,31.1667,97.2333,-1.56,22,20,2.02,CN,1738124416
258,kerikeri,-35.2268,173.9474,19.91,67,48,2.35,NZ,1738124417
259,loa janan,-0.583,117.095,24.56,97,100,1.22,ID,1738124419
260,north bend,43.4065,-124.2243,2.95,93,0,2.57,US,1738124420
261,waingapu,-9.6567,120.2641,27.02,79,100,0.35,ID,1738124421
262,copiapo,-27.3667,-70.3333,19.13,71,0,0.74,CL,1738124422
263,jiagedaqi,50.4167,124.1167,-13.89,79,99,2.31,CN,1738124424
264,chul'man,56.8479,124.9104,-28.65,93,100,1.89,RU,1738124425
265,lompoc,34.6391,-120.4579,10.56,79,0,6.71,US,1738124149
266,carlsbad,33.1581,-117.3506,11.75,85,20,1.54,US,1738124427
267,aqsay,51.1678,52.995,0.31,95,96,3.71,KZ,1738124429
268,thanh hoa,19.8,105.7667,19.72,35,11,2.17,VN,1738124430
269,adirampattinam,10.35,79.4,25.58,70,100,6.41,IN,1738124431
270,sehore,23.2,77.0833,20.12,18,68,1.72,IN,1738124433
